"group_id","phrase","final_action","explanation"
"CORV-G05-05","сайт","REMOVE","blocks active phrase"
"CORV-G05-05","битрикс","REMOVE","blocks active phrase"
"CORV-G05-05","касса","REMOVE","blocks active phrase"
"CORV-G05-05","перенос","REMOVE","blocks active phrase"
"CORV-G04-01","закупок","REMOVE","blocks active phrase"
"CORV-G04-01","планирован","REMOVE","blocks active phrase"
"CORV-G04-01","календар","REMOVE","blocks active phrase"
"CORV-G04-01","платеж","REMOVE","blocks active phrase"
"CORV-G04-02","себестоим","REMOVE","blocks active phrase"
"CORV-G04-02","календар","REMOVE","blocks active phrase"
"CORV-G04-02","платеж","REMOVE","blocks active phrase"
"CORV-G04-03","себестоим","REMOVE","blocks active phrase"
"CORV-G04-03","закупок","REMOVE","blocks active phrase"
"CORV-G04-03","планирован","REMOVE","blocks active phrase"
"CORV-G03-04","отчет","REMOVE","blocks active phrase"
"CORV-G03-04","рмк","REMOVE","blocks active phrase"
"CORV-G03-04","маркировка","REMOVE","blocks active phrase"
"CORV-G03-04","создан","REMOVE","blocks active phrase"
"CORV-G03-06","отчет","REMOVE","blocks active phrase"
"CORV-G03-06","печатная форма","REMOVE","blocks active phrase"
"CORV-G03-06","маркировка","REMOVE","blocks active phrase"
"CORV-G03-06","внешн","REMOVE","blocks active phrase"
"CORV-G03-06","касса","REMOVE","blocks active phrase"
"CORV-G03-05","рмк","REMOVE","blocks active phrase"
"CORV-G03-05","маркировка","REMOVE","blocks active phrase"
"CORV-G03-02","печатная форма","REMOVE","blocks active phrase"
"CORV-G03-02","доработк","REMOVE","blocks active phrase"
"CORV-G03-02","внешн","REMOVE","blocks active phrase"
"CORV-G03-02","маркировка","REMOVE","blocks active phrase"
"CORV-G03-02","рмк","REMOVE","blocks active phrase"
"CORV-G03-01","печатная форма","REMOVE","blocks active phrase"
"CORV-G03-01","внешн","REMOVE","blocks active phrase"
"CORV-G03-01","создан","REMOVE","blocks active phrase"
"CORV-G03-01","маркировка","REMOVE","blocks active phrase"
"CORV-G03-01","рмк","REMOVE","blocks active phrase"
"CORV-G03-03","отчет","REMOVE","blocks active phrase"
"CORV-G03-03","доработк","REMOVE","blocks active phrase"
"CORV-G03-03","рмк","REMOVE","blocks active phrase"
"CORV-G03-03","маркировка","REMOVE","blocks active phrase"
"CORV-G03-03","внешн","REMOVE","blocks active phrase"
"CORV-G02-04","перенос","REMOVE","blocks active phrase"
"CORV-G02-04","исправлен","REMOVE","blocks active phrase"
"CORV-G02-04","база","KEEP","no collision"
"CORV-G02-05","исправлен","REMOVE","blocks active phrase"
"CORV-G02-05","конфигурац","REMOVE","blocks active phrase"
"CORV-G02-05","база","KEEP","no collision"
"CORV-G02-06","перенос","REMOVE","blocks active phrase"
"CORV-G02-06","конфигурац","REMOVE","blocks active phrase"
"CORV-G02-06","база","KEEP","no collision"
"CORV-G02-02","отчет","REMOVE","blocks active phrase"
"CORV-G02-02","печатная форма","REMOVE","blocks active phrase"
"CORV-G02-02","маркировка","REMOVE","blocks active phrase"
"CORV-G02-02","база","KEEP","no collision"
"CORV-G02-02","перенос","REMOVE","blocks active phrase"
"CORV-G02-02","исправлен","REMOVE","blocks active phrase"
"CORV-G02-03","отчет","REMOVE","blocks active phrase"
"CORV-G02-03","печатная форма","REMOVE","blocks active phrase"
"CORV-G02-03","маркировка","REMOVE","blocks active phrase"
"CORV-G02-03","конфигурац","REMOVE","blocks active phrase"
"CORV-G02-03","обновлен","REMOVE","blocks active phrase"
"CORV-G02-03","перенос","REMOVE","blocks active phrase"
"CORV-G02-01","отчет","REMOVE","blocks active phrase"
"CORV-G02-01","печатная форма","REMOVE","blocks active phrase"
"CORV-G02-01","маркировка","REMOVE","blocks active phrase"
