"utc","local","code","phase","detail"
"2026-08-29T18:02:18.2951077Z","2026-08-30T01:02:18.3020891+07:00","SESSION_START","PHASE0","X:\AI MARS\projects\mars-server-ops\evidence\FRIENDHOSTING-DE-RAW-8443\2026-08-30_010218_dryvalidate"
"2026-08-29T18:02:21.4374018Z","2026-08-30T01:02:21.4374018+07:00","PHASE0_DONE","PHASE0",""
"2026-08-29T18:02:22.3067276Z","2026-08-30T01:02:22.3326592+07:00","TRANSPORT_EGRESS","DRY_TRANSPORT","ok=True;http=200"
"2026-08-29T18:02:22.9200747Z","2026-08-30T01:02:22.9200747+07:00","TRANSPORT_HTTPS","DRY_TRANSPORT","ok=True;http=200"
"2026-08-29T18:02:26.0307366Z","2026-08-30T01:02:26.0307366+07:00","TRANSPORT_HTTPS_REPEAT","DRY_TRANSPORT","pass=5/5"
"2026-08-29T18:02:30.1952054Z","2026-08-30T01:02:30.1952054+07:00","TRANSPORT_BODY_10MB","DRY_TRANSPORT","ok=True;bytes=10000000"
